date,state,npa_plz,longitude,latitude,total_healthy,total_sick_guess_no_corona,total_sick_guess_corona,total_sick_corona_confirmed,total_recovered_confirmed,total_recovered_not_confirmed
2020-04-05,Stockholm,15185,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15187,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15188,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15189,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15192,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15200,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15205,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15207,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15220,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15225,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15226,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15227,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15228,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15230,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15231,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15240,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15241,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15242,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15243,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15248,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15249,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15250,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15251,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15252,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15254,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15256,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15257,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15258,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15259,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15270,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15271,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15286,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15295,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15297,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15300,59.1,17.5667,0,0,0,0,0,0
2020-04-05,Stockholm,15307,59.0167,17.5333,0,0,0,0,0,0
2020-04-05,Stockholm,15320,59.1,17.5667,0,0,0,0,0,0
2020-04-05,Stockholm,15321,59.1,17.5667,0,0,0,0,0,0
2020-04-05,Stockholm,15322,59.1,17.5667,0,0,0,0,0,0
2020-04-05,Stockholm,15326,59.1,17.5667,0,0,0,0,0,0
2020-04-05,Stockholm,15330,59.1,17.5667,0,0,0,0,0,0
2020-04-05,Stockholm,15331,59.1,17.5667,0,0,0,0,0,0
2020-04-05,Stockholm,15332,59.1,17.5667,0,0,0,0,0,0
2020-04-05,Stockholm,15335,59.1,17.5667,0,0,0,0,0,0
2020-04-05,Stockholm,15336,59.1,17.5667,0,0,0,0,0,0
2020-04-05,Stockholm,15337,59.1,17.5667,0,0,0,0,0,0
2020-04-05,Stockholm,15338,59.1,17.5667,0,0,0,0,0,0
2020-04-05,Stockholm,15371,59.0167,17.5333,0,0,0,0,0,0
2020-04-05,Stockholm,15381,59.1,17.5667,0,0,0,0,0,0
2020-04-05,Stockholm,15391,59.1,17.5667,0,0,0,0,0,0
2020-04-05,Stockholm,15392,59.0167,17.5333,0,0,0,0,0,0
2020-04-05,Stockholm,15393,59.0167,17.5333,0,0,0,0,0,0
2020-04-05,Stockholm,15394,59.0167,17.5333,0,0,0,0,0,0
2020-04-05,Stockholm,15395,59.1,17.5667,0,0,0,0,0,0
2020-04-05,Stockholm,15500,59.1833,17.4333,0,0,0,0,0,0
2020-04-05,Stockholm,15520,59.1833,17.4333,0,0,0,0,0,0
2020-04-05,Stockholm,15521,59.1833,17.4333,0,0,0,0,0,0
2020-04-05,Stockholm,15522,59.1833,17.4333,0,0,0,0,0,0
